CODDIS,CODDEP,IndPresidente,IndSenaNacion,IndDipuNacion,IndGobernador,IndSenaProvin,IndDipuProvin,IndDipuMunici,IndTribCuenta
"02","128","0","0","1","0","0","1","1","0"
"02","129","0","0","1","0","1","0","1","0"
"02","130","0","0","1","0","1","0","1","0"
"02","131","0","0","1","0","0","1","1","0"
"02","132","0","0","1","0","0","1","1","0"
"02","133","0","0","1","0","1","0","1","0"
"02","134","0","0","1","0","1","0","1","0"
"02","135","0","0","1","0","1","0","1","0"
"02","991","0","0","1","0","1","0","0","0"
"02","992","0","0","1","0","0","1","0","0"
"02","993","0","0","1","0","0","1","0","0"
"02","994","0","0","1","0","1","0","0","0"
"02","995","0","0","1","0","1","0","0","0"
"02","996","0","0","1","0","0","1","0","0"
"02","997","0","0","1","0","1","0","0","0"
"02","998","0","0","1","0","0","1","0","0"
"02","999","0","0","1","0","1","1","0","0"
"03","001","0","0","1","0","0","1","0","0"
"03","002","0","0","1","0","1","1","0","0"
"03","003","0","0","1","0","1","1","0","0"
"03","004","0","0","1","0","1","1","0","0"
"03","005","0","0","1","0","1","1","0","0"
"03","006","0","0","1","0","0","1","0","0"
"03","007","0","0","1","0","1","1","0","0"
"03","008","0","0","1","0","0","1","0","0"
"03","009","0","0","1","0","0","1","0","0"
"03","010","0","0","1","0","0","1","0","0"
"03","011","0","0","1","0","0","1","0","0"
"03","012","0","0","1","0","0","1","0","0"
"03","013","0","0","1","0","0","1","0","0"
"03","014","0","0","1","0","1","1","0","0"
"03","015","0","0","1","0","1","1","0","0"
"03","016","0","0","1","0","1","1","0","0"
"03","999","0","0","1","0","1","1","0","0"
"04","001","0","0","1","0","0","0","0","0"
"04","002","0","0","1","0","0","0","0","0"
"04","003","0","0","1","0","0","0","0","0"
"04","004","0","0","1","0","0","0","0","0"
"04","005","0","0","1","0","0","0","0","0"
"04","006","0","0","1","0","0","0","0","0"
"04","007","0","0","1","0","0","0","0","0"
"04","008","0","0","1","0","0","0","0","0"
"04","009","0","0","1","0","0","0","0","0"
"04","010","0","0","1","0","0","0","0","0"
"04","011","0","0","1","0","0","0","0","0"
"04","012","0","0","1","0","0","0","0","0"
"04","013","0","0","1","0","0","0","0","0"
"04","014","0","0","1","0","0","0","0","0"
"04","015","0","0","1","0","0","0","0","0"
"04","016","0","0","1","0","0","0","0","0"
"04","017","0","0","1","0","0","0","0","0"
"04","018","0","0","1","0","0","0","0","0"
"04","019","0","0","1","0","0","0","0","0"
"04","020","0","0","1","0","0","0","0","0"
"04","021","0","0","1","0","0","0","0","0"
"04","022","0","0","1","0","0","0","0","0"
